MID,Merchant_Name,CONTACT_new,Address,City,Area,addres2,additional location,Telp,Company,Head_Office,status
80436100,JULIA JEWELLRY,MELINDA,MALL RATU INDAH,MAKASSAR,MAKASSAR,,,(62-542) 731934,,, 
80435300,METANOIA,ANDREW NUGRAHA,S.SADDANG,MAKASSAR,MAKASSAR,,,(62-542) 424717,,, 
80430300,RS.GRESTELINA,MARGARETHA JESSIATI W,HERTASNING RAYA,MAKASSAR,MAKASSAR,,,(62-561) 743943,,, 
80429500,CENTRO POOL & CAFÉ,ROBBY,JL.VETERAN NO242,MAKASSAR,MAKASSAR,,,,,, 
80424500,SEIKO,CHANDRA ALIM,MALL PANAKUKANG,MAKASSAR,MAKASSAR,,,,,, 
80423700,MEGA RICH COMPUTER,RONNY WIJAYA,JL ABD DG SIRUA,MAKASSAR,MAKASSAR,,,,,, 
80421100,DREAM LAND,FANNY,JL RANGGONG,MAKASSAR,MAKASSAR,,,,,, 
80420300,HAPPY PUPPY,SANTOSO SETYADJI,JL A P PETTARANI,MAKASSAR,MAKASSAR,,,,,, 
80417900,UD.KOTA BARU,TERRY TETRAWAN,PENGAYOMAN,MAKASSAR,MAKASSAR,,,,,, 
80416100,PESONA TIRTA,TJIANG MEI LAI,JL.DG.TOMPO,MAKASSAR,MAKASSAR,,,,,, 
80415300,RM.MAXIM,TJONDRO TJANDRA,JL.SULAWESI,MAKASSAR,MAKASSAR,,,,,, 
80397900,PT.CITRA YASMIN HOTEL,POCELLA MOEKONO K,JL.JAMPEA,MAKASSAR,MAKASSAR,,,,,, 
80394500,CV.MAKASSAR TOUR,JOHANNES LOLO,JLKARUNGRUNG,MAKASSAR,MAKASSAR,,,,,, 
80392900,CV.LASER COMPOTINDO,SINSINAR WINARTO,JL.MASJID RAYA,MAKASSAR,MAKASSAR,,,,,, 
80390300,LOGAM MULIA,SUGENG JAWOTENG,JL SOMBAOPU,MAKASSAR,MAKASSAR,,,,,, 
80389500,EDWARD FORER,VERISON,BONTO LEMPANGANG,MAKASSAR,MAKASSAR,,,(62-541) 748339,PT Citra Nusa Insan Cemerlang,Jakarta, 
80361000,GRAMEDIA,HINDRY GUNAWAN,MALL PANAKUKANG,MAKASSAR,MAKASSAR,,,,,, 
80360204,FUJI IMAGE PLASA,SUMARDI,MALL PANAKUKANG,MAKASSAR,MAKASSAR,,,,PT Mitra Adi Perkasa,Jakarta, 
80360203,FUJI PLASA,M.ARIEF,JL.RATULANGI NO.17,MAKASSAR,MAKASSAR,,,,,, 
80343300,ECOMODA,ROBERT OCTAVIANUS,JL G LATIMOJONG,MAKASSAR,MAKASSAR,,,,PT Lion Mentari,Jakarta, 
80330900,PT CNI,WARAS SANTOSA,A PETTARANI,MAKASSAR,MAKASSAR,,,,PT Wings Abadi Airlines,Jakarta, 
80322500,ELCO,HALIM HOMERIC,G MERAPI,MAKASSAR,MAKASSAR,,,0531-21109,,, 
80321700,HANS,HANS LIONARDY,JL.G.LATIMOJONG,MAKASSAR,MAKASSAR,,,,,, 
80320900,TOP IN,SUNARTO WIJAYA,JL G LATIMOJONG,MAKASSAR,MAKASSAR,,,,,, 
80318300,ANEKA TEXTIL,AKMAL MALIK OEI,JL G LATIMOJONG,MAKASSAR,MAKASSAR,,,,,, 
80317500,TOKO NAFIRI,TAN KHO SING,JL SUNGAI PAREMAN,MAKASSAR,MAKASSAR,,,,,, 
80316700,FAIRLADY,COANDY GUNAWAN,JL.PASAR IKAN,MAKASSAR,MAKASSAR,,,,,, 
80315900,M CLUB,JOHANES MAHODIM,JL TOPAZ RAYA,MAKASSAR,MAKASSAR,,,0548-21516,,, 
